course_id,rating_clarity,rating_workload,rating_interaction,rating_attendance_strictness,rating_assignments,overall_rating,course_organization,latent_computational_math_heavy,latent_theory_heavy,latent_difficulty_rigor,latent_practicality,latent_ease
1,0.395862386958858,0.5900106587878904,0.7259251417504311,0.7833176122047361,0.3378466018780877,0.3502633461103404,0.4915263350695618,0.49197042687461967,0.5092320721465206,0.46392863033298903,0.5299193809127315,0.4206459582822994
2,0.8517678568598557,0.5374958704988435,0.31474771636476184,0.3073485674068017,0.42808549202101176,0.40550004480688173,0.3194140071660696,0.415878973635971,0.5814880048027703,0.48279068125992763,0.4269072728674863,0.5895915959776188
3,0.7278664955070608,0.0,0.1289154110543418,0.16636207601144282,0.3382140645908649,0.32546643964512967,0.7973128905924511,0.1897123267349338,0.7323485657575697,0.16910703229543245,0.1739602491526485,0.8506091763213146
4,0.820525440402359,0.8476160903797147,0.447401430083584,0.8508804392754437,0.24848455911957412,0.29639618053058214,0.21121165510885564,0.4743351717192438,0.5865626156930528,0.5480503247496444,0.4878990797868193,0.43140607103082884
5,0.7689718731386543,0.23935652092540494,0.9211488510891082,0.4925780870135963,0.2955016497833851,0.45910285467916623,0.12745897784626692,0.26014889365578514,0.5251003029097069,0.267429085354395,0.4663522715177079,0.6373379364545532
6,0.921495525346617,0.2700312571472132,0.7206148844188789,0.6063264279651692,0.7093726042676494,0.8542714745600328,0.33778691519296533,0.4074624394966217,0.527937072908559,0.4897019307074313,0.5809428841768874,0.7281430903183547
7,0.7418291402887052,0.23572463215674322,0.3389963914394931,0.7930852011358756,0.5314711851491101,0.6015337740492317,0.6333170953702583,0.35851249886460035,0.6218598269359041,0.38359790865292664,0.38500478113851494,0.7291052223268364
8,1.0000000000000009,0.5864802980075865,0.6556410461745434,0.6337809844566884,0.48352497691117335,0.7315897790866206,0.4362969752520618,0.4280021099675038,0.65764644826487,0.5350026374593799,0.5660463940191083,0.6526672758473782
9,0.5181017131808741,1.0,0.443941477008825,0.6161558370794165,0.42301374103736844,0.289661932072768,0.33974147987667713,0.6655851537787727,0.47334099525893236,0.7115068705186842,0.6023879395175948,0.27518898124768504
10,0.7186489682879289,0.5338825569871153,0.8208642736878771,0.46108666933433184,0.5558302199215088,0.5647774498162921,0.19332015300808258,0.4921553171058639,0.45244012647715137,0.5448563884543121,0.6287561371711012,0.512570595121942
11,0.7748198835581546,0.1873349063449865,0.5526588374303048,0.5719577687609592,0.0,0.35253792555758423,0.43119384402764194,0.11996998582636369,0.7221048046550287,0.09366745317249325,0.22199812313258738,0.7212327596907957
12,0.444872742992505,0.2006812635857118,0.8759480420129027,0.7564658338475017,0.8059948699366304,1.0000000000000018,1.0,0.5136959048104359,0.5639069990663876,0.5033380667611711,0.6453867396542364,0.6976765917627173
13,0.6124097027532107,0.26378362373493314,1.0,0.3418568629590002,0.25663505524202357,0.7411727652985753,0.8360987206806065,0.28568553104014055,0.7299874316292289,0.26020933948847835,0.4817891092172894,0.7066701757434323
14,0.6423275418613565,0.5318449741797497,0.5432555378227262,0.271559910537821,0.9333157836171049,0.7591111257847114,0.6334581767308869,0.6575987947464706,0.46653026642215367,0.7325803788984273,0.6958564670475847,0.5708846624188202
15,0.38959839010450725,0.5169815744322603,0.4881729752766413,0.7218014337243064,0.7383348613322216,0.5715007029380779,0.5412129634358429,0.6242068962848913,0.40428351533945606,0.627658217882241,0.5968803094455591,0.45728931895606734
16,0.8072790377026573,0.4719400396432105,0.9419834242916858,0.7539211491962945,0.25152516090295407,0.46605178555426185,0.2409626671735685,0.3279302726779344,0.5914270484357929,0.3617326002730823,0.5247871035416505,0.5823281326584925
17,0.1756966943103011,0.5909265589288246,0.16678131131690854,0.7065596542390287,0.5735101885928033,0.17898173159397146,0.36660278310140804,0.630635360146591,0.3177517605162572,0.582218373760814,0.45671643651084126,0.3072286107728722
18,0.5865791991253255,0.5363682576369859,0.6615590705837375,0.5073915512346785,0.7904630355496867,0.5944315792293171,0.24727398178073123,0.6134166774496039,0.35470970265221385,0.6634156465933363,0.6755634126860917,0.46953917295148206
19,0.4961321869906046,0.4325782783842751,0.21828959149758198,0.5228698859419181,0.5865825313159103,0.20553615438373107,0.32499826535367937,0.5084378864819533,0.41142089892572625,0.5095804048500927,0.42989337349092127,0.49042121651326764
